_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
1,RAGHUPATI JUTE MILLS,Sankhuwasabha,Private,2003
2,MORANG SUGAR MILLS,Morang,Public,2003
3,NEW EVEREST CONSULTENCY,Lalitpur,Private,2004
4,HIRA LAXMI TRADERS,Kanchanpur,Private,2007
5,HIMALAYAN WOOLEN MILLS,Lalitpur,Private,2007
6,LAXMI TREKKING COMPANY,Sankhuwasabha,Private,2007
7,HULAS RICE MILLS,Sankhuwasabha,Private,2007
8,RAM TEA TEND AGRICULTURE,Ramechhap,Private,2007
9,NEPAL HOLIDAYS JUNCTION,Kathmandu,Private,2008
10,NEPAL COMMERCIAL CORPORATION,Lalitpur,Private,2008
11,JOR GANESH PRESS,Lalitpur,Private,2008
12,ASHOK HALL,Kathmandu,Private,2009
13,NEPAL TRADERS LTD.,Lalitpur,Private,2009
14,JYOTI DYING AND PRINTING FACTORY,Terhathum,Private,2009
15,KRISHI UDYOG BIKAS COMPANI,Ramechhap,Private,2009
16,GOLCHHA RICE OIL AND FLOUR MILLS,Sankhuwasabha,Private,2009
17,HIMALAYA RICE OIL AND FLOUR MILLS,Siraha,Private,2009
18,DURGA RICE OIL AND FLOUR MILLS,Gorkha,Private,2009
19,NEPAL TRADING CO.,Lalitpur,Private,2009
20,MAHABIR INDUSTRY,Siraha,Private,2009
21,HIMALAYA COMMERCIAL CO.,Lalitpur,Private,2009
22,SHREE TREKKING,Lalitpur,Private,2009
23,LALITA RICE OIL DAAL&FLOUR MILL,Sankhuwasabha,Private,2009
24,PRITHVI RICE OIL & FLOUR MILLS,Syangja,Private,2009
25,BASANTPUR CINEMA,Kathmandu,Public,2009
26,Shree Trading,Kathmandu,Public,2009
27,YATI BYABASTHAPAK MANDAL,Lalitpur,Private,2010
28,RADHESHYAM RICE OIL &FLOUR MILLS,Sindhuli,Private,2010
29,BHAJURATNA INVESTMENT,Kathmandu,Public,2010
30,Jerky-Meat Parlour,Kathmandu,Private,2011
31,Strawberry Restaurant & Bar,Kathmandu,Private,2011
32,Talktime Trading,Kathmandu,Private,2011
33,HIMALAYAN INSURANCE,Makwanpur,Private,2012
34,TANKESWAR GARMENT,Kathmandu,Private,2012
35,NEPAL AGENCY LIMITED,Lalitpur,Private,2012
36,NEPAL IRON & STEEL CORPORATION,Bara,Private,2012
37,RAM MILLS,Makwanpur,Private,2012
38,NEPAL DAIRY LTD.,Lalitpur,Private,2012
39,Shree Narayan Prashad Rice & Oil Mills,Kathmandu,Private,2013
40,PURBI NEPAL AGRICULTURAL FIRM,Jhapa,Private,2013
41,HRIDAYA MAHAT KRISHI,Jhapa,Private,2013
42,SHARE BONE MILL,Kathmandu,Private,2014
43,ACHYUT RICE OIL MILLS,Morang,Private,2014
44,JALJALA SISHU SADAN,Sankhuwasabha,Private,2014
45,Shree Jaljala Cinema,Morang,Private,2014
46,Nurdun Industrial Carporetion,District not known,Private,2015
47,NEPAL CONSTRUCTION AND ENGNEERING CORPORESAN,Lalitpur,Private,2015
48,E. M. C.,Kathmandu,Private,2015
49,The Nepal Brick Tile And Pipe Works,Kathmandu,Private,2016
50,HANUMAN INDUSTRIES,Jhapa,Private,2016
51,ALLIED INDUSTRIAL ENTERPRISES,Kathmandu,Private,2016
52,HIMALAYAN INDUSTRIES,Morang,Private,2016
53,SERCHAN INDUSTRIAL COMPANY,Lalitpur,Private,2016
54,Sherchan Aaudogik Bikash Company,Kathmandu,Private,2016
55,STEEL CRAFTS,Lalitpur,Private,2016
56,MAHENDRA SUGAR & GENERAL INDUSTRIES,Syangja,Private,2017
57,SANTOSHI SECURITY SERVICES,Morang,Private,2017
58,Himalayan  Enterprises,Kathmandu,Private,2017
59,NEPAL AUTOMOBILES,Kathmandu,Private,2017
60,Kumari Rice Oil Dal & floor Mills,Morang,Private,2017
61,MAHAKALI RICE OIL AND FLOUR MILLS,Dolpa,Private,2017
62,CHANDRA SHIVA RICE AND OIL MILLS,Morang,Private,2017
63,RAPTI DEVELOPMENT,Makwanpur,Private,2017
64,Sunshinefinance limited,Kathmandu,Private,2017
65,SANGRILLA BAHU UDESIYA KRISHI FARM,Kathmandu,Private,2017
66,NEPAL WOOLS WORKS,Lalitpur,Private,2017
67,HIMAL AUTOMOBILES,Kathmandu,Private,2017
68,SURYABAN UDHYOG,Bara,Private,2017
69,JANAKI RICE AND OIL MILLS,Ramechhap,Private,2017
70,IMPORT EXPORT SERVICES,Lalitpur,Private,2017
71,SURAJ TRADING COMPANY,Lalitpur,Private,2017
