_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
1,Prayas Re-employment Consultant,Kathmandu,Private,2065
2,Bindabasini Remittance Services (Sub Agent),Kathmandu,Private,2065
3,Khakurel Construction Company,Kathmandu,Private,2065
4,I.T. Expert Nepal,Kathmandu,Private,2065
5,Siddhartha Graphic,Kathmandu,Private,2065
6,National Cattle Farming & Research Center,Morang,Private,2065
7,Rijan Academy School,Kailali,Private,2065
8,Park Group International,Kathmandu,Private,2065
9,Madan & Gurung Housing,District not known,Private,2065
10,Samyukta Enterprises Traders and Investment Company,Sunsari,Private,2065
11,Agrasar Housing and Land,Lalitpur,Private,2065
12,Financial Professional Instituted,Kathmandu,Private,2065
13,Study Empire International,Kathmandu,Private,2065
14,Gupta Real Estate,Bara,Private,2065
15,Candy Partnership,Kathmandu,Private,2065
16,Maa Manakamana Bhagawati Enterprises,Kathmandu,Private,2065
17,Pokhara Broadband,Kathmandu,Private,2065
18,Mandala Electronics Solutions,Lalitpur,Private,2065
19,Intech Trade Circle,Kathmandu,Private,2065
20,Gems Handicraft,Kathmandu,Private,2065
21,Bhu-Kunj Engineering,Kathmandu,Private,2065
22,Best Approach Education Consultancy,Kathmandu,Private,2065
23,Swarna Laxmi Sub Money Transfer,Kathmandu,Private,2065
24,Joshi & Associate,Kathmandu,Private,2065
25,Speed Investment Company,Kathmandu,Private,2065
26,Fore Man Construction,Kathmandu,Private,2065
27,Nexus Suppliers,Kathmandu,Private,2065
28,Sopan Investment,Lalitpur,Private,2065
29,Aadarsha Packaging Industries,Nawalparasi,Private,2065
30,Lily Housing,Lalitpur,Private,2065
31,Gurans Investment,Lalitpur,Private,2065
32,Prime Housing,Lalitpur,Private,2065
33,Sabal Sajha Press,Kathmandu,Private,2065
34,Tulips Technologies,Kathmandu,Private,2065
35,Nirjana Aawash Company,Kathmandu,Private,2065
36,Life Care Services,Kathmandu,Private,2065
37,Shuva Prabhat Housing & Construction Trade,Kathmandu,Private,2065
38,Krishna Gautam International,Kapilvastu,Private,2065
39,Himalayan Green Gardens,Kathmandu,Private,2065
40,T.T.S. Costume Carpet,Kathmandu,Private,2065
41,Greenland Coffee Industries,Kavrepalanchowk,Private,2065
42,Champion Intercontinental,Bara,Private,2065
43,True Concepts,Kathmandu,Private,2065
44,Buddha Minimal Access Intervention Center,Kathmandu,Private,2065
45,krishna gandaki byabasaek talim kendra,Nawalparasi,Private,2065
46,Ever Green Media Advertising & Training Centre,Bhaktapur,Private,2065
47,Prasiddhika Housing,Kathmandu,Private,2065
48,Pamela Global Consultancy,Lalitpur,Private,2065
49,K.S.Tara Real Estate,Kathmandu,Private,2065
50,"Diabetes, Thyroid And Endocrinology Care Center",Lalitpur,Private,2065
51,Manakamana Insurance Company,Kaski,Public,2065
52,Kagbeni Construction,Kaski,Private,2065
53,Shubha Resort & Jungle Safari,Kathmandu,Private,2065
54,Siddhi Investment,Lalitpur,Private,2065
55,Canvas International Education Consultancy,Kathmandu,Private,2065
56,Meet Point Education Consultancy Plus Immigration Service,Kathmandu,Private,2065
57,Institute of Banking Studies,Kathmandu,Private,2065
58,Boby Vehicle Service,Kathmandu,Private,2065
59,Antar Santha Bahuudeshya Krishi Udhyog Kendra,Jhapa,Private,2065
60,Mount Everest Distillery,Rupandehi,Private,2065
61,Sabita Store,Kathmandu,Private,2065
62,Everest Fire Control Technologies,Kathmandu,Private,2065
63,Yunchhoma Travels and Tours,Kathmandu,Private,2065
64,Pokhara Everest  Trade  & Housing,Kaski,Private,2065
65,Healing Hands Beauty Parlour,Kathmandu,Private,2065
66,Siddhartha Niketan Balkot,District not known,Private,2065
67,Aama-Baa Hospital And Research Center,Gorkha,Private,2065
68,J.N. Exim,Kathmandu,Private,2065
69,Milkyway Kinder Garden,Kathmandu,Private,2065
70,Om Shivam Satya Sai Baba Auto,Kathmandu,Private,2065
71,Kushum Digital Recording Studio,Kailali,Private,2065
72,Subha Swadhin International Money Express,Kathmandu,Private,2065
73,Model Vision English Academy,Surkhet,Private,2065
74,Brilliant Orientation & Consultancy,Lalitpur,Private,2065
75,Premier Construction,Kathmandu,Private,2065
76,Rugs Carpet & Design Nepal,Kathmandu,Private,2065
77,Nepal Fair Step Treks & Expedition,Kathmandu,Private,2065
78,B.S.B.  Consultancy & Services,Jhapa,Private,2065
79,Bikash International,Lalitpur,Private,2065
80,Motherland International,Lalitpur,Private,2065
81,Chandra Shikhar Housing and Land Developing,Kathmandu,Private,2065
82,Sazilo Money Transfer,Kathmandu,Private,2065
83,Mission U.S.A. Education Consultancy,Kathmandu,Private,2065
84,Muna Housing & Development Company,Lalitpur,Private,2065
85,Sigma Enterprises,Kathmandu,Private,2065
86,Guru Bashistha Publication,Kathmandu,Private,2065
87,Eden Motel,Kathmandu,Private,2065
88,S.S. Handicraft & Marketing Concern,Kathmandu,Private,2065
89,Prawaha Tours & Travels,Kathmandu,Private,2065
90,Bio-Trade Concern,Kathmandu,Private,2065
91,Manav Dental Hospital,Jhapa,Private,2065
92,Max Com,Kathmandu,Private,2065
93,Numa Travel & Tours,Kathmandu,Private,2065
94,Rapid Communication Networks,Kathmandu,Private,2065
95,Shubha Deep International Business,Kathmandu,Private,2065
96,City Medicare Homes,District not known,Private,2065
97,Rukum Sisne Himal Pupal & Suppliers,Rukum,Private,2065
98,Janaki Investment & Sub-Remittance,Kathmandu,Private,2065
99,National Development Construction,Kathmandu,Private,2065
100,Sakura Retreat Training and Consultancy,Kathmandu,Private,2065
101,Gokarneshwar Light Academy,Kathmandu,Private,2065
102,Universal Marriage Bureau,Lalitpur,Private,2065
103,Dibya Polyclinic,Kathmandu,Private,2065
104,Kanchan Sub Money Transfer,District not known,Private,2065
105,Dhangadhi College of Information Technology,Kailali,Private,2065
106,Oshin Power Service,Rupandehi,Private,2065
107,Indrawati Construction,Kathmandu,Private,2065
108,U.M. Building Service,Kathmandu,Private,2065
109,Bronson Language Center,Kathmandu,Private,2065
110,Name Educational Consultancy,Kathmandu,Private,2065
111,Sagarmatha Asset Management,Lalitpur,Private,2065
112,Manakamana Money Exchange,Kathmandu,Private,2065
113,Rozway Bigyapan Agency,District not known,Private,2065
114,Guna Enterprises Pvt.Ltd.,Lalitpur,Private,2065
115,N.S. Water Enterprises,Kathmandu,Private,2065
116,Trikon Engineering Consultancy,Kathmandu,Private,2065
117,Shubh Interior and Labh Traders,Kathmandu,Private,2065
118,Aakriti Media & Entertainment,Kathmandu,Private,2065
119,Bhagyashwar Printing & Suppliers Company,Kathmandu,Private,2065
120,Saa International,Kathmandu,Private,2065
121,Glorious Export Import,Kathmandu,Private,2065
122,Worldlink Lahan Communication,Siraha,Private,2065
123,Hope Flower Trading,Kathmandu,Private,2065
124,ASHA KO FUL MINING COMPANY,Kathmandu,Private,2065
125,Inno-Tech Nepal,Lalitpur,Private,2065
126,Om Shanti Om Tours &  Travels,Kathmandu,Private,2065
127,Ever Prime Educational Consultancy Center,Kathmandu,Private,2065
128,Golden ABC Academy,Banke,Private,2065
129,Rangbo Garments Nepal,Lalitpur,Private,2065
130,Rhythm International Education,Kathmandu,Private,2065
131,Chandani Baluwa Udhyog,Kathmandu,Private,2065
132,Dupcheshwari Plastic Udhyog,Kathmandu,Private,2065
133,Worldlink Hetauda Communication,Makwanpur,Private,2065
134,Pioneer Solar Company,Lalitpur,Private,2065
135,Chandra Surya Niwas Nirman Sewa,Kathmandu,Private,2065
136,Gongabu Sub Money Transfer,Kathmandu,Private,2065
137,Faithful Academy,Lalitpur,Private,2065
138,Samyukta Aawash Bikash Company,Kathmandu,Private,2065
139,Kailash Automobiles,Kathmandu,Private,2065
140,Jyoti Educational Consultancy Center Nepal,Kathmandu,Private,2065
141,Duti-Ful Travels & Tours,District not known,Private,2065
142,U. & S. Real Estate & Housing Company,Kathmandu,Private,2065
143,P.P.S. Media Service,Kathmandu,Private,2065
144,Canvas Advertising Agency,Kathmandu,Private,2065
145,Phuljor Baba Janasewa Wachat Investment,Sarlahi,Private,2065
146,Saras International,Kathmandu,Private,2065
147,S.S.R.L. Housing Company,Kathmandu,Private,2065
148,Shangrila Housing,Kathmandu,Private,2065
149,Classic Furnishing Center,Kathmandu,Private,2065
150,Admix Media Advertising,Kathmandu,Private,2065
151,Yatra Computer,Kathmandu,Private,2065
